job,marital,education,contact,month,poutcome,y,balanceSummary,ageBand,defaultValue,housingVal,loanVal
blue-collar,married,primary,cellular,may,failure,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
technician,married,tertiary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,oct,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanYes
self-employed,divorced,tertiary,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,married,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
blue-collar,single,primary,unknown,aug,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
entrepreneur,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,divorced,tertiary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,married,unknown,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,primary,telephone,may,failure,yes,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,divorced,primary,cellular,jul,unknown,yes,positive,ageBand4,defaultNo,houseNo,loanYes
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,divorced,tertiary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,may,unknown,no,negative,ageBand4,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,nov,other,yes,positive,ageBand3,defaultNo,houseYes,loanYes
blue-collar,single,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,aug,unknown,no,veryPositive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
retired,married,primary,cellular,oct,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,secondary,unknown,sep,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
unemployed,married,primary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
management,married,tertiary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,married,tertiary,telephone,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
services,single,secondary,unknown,may,unknown,no,positive,ageBand1,defaultNo,houseYes,loanNo
unknown,married,tertiary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,married,primary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
technician,married,primary,cellular,jan,success,yes,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,may,failure,no,positive,ageBand5,defaultNo,houseYes,loanNo
admin.,single,secondary,unknown,may,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
technician,single,secondary,unknown,may,unknown,no,negative,ageBand1,defaultNo,houseYes,loanNo
retired,married,secondary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
technician,married,secondary,cellular,sep,success,yes,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
management,divorced,tertiary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
blue-collar,married,primary,unknown,may,unknown,no,negative,ageBand4,defaultNo,houseYes,loanNo
services,married,secondary,unknown,may,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,unknown,cellular,may,failure,no,positive,ageBand2,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
unemployed,single,tertiary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,divorced,tertiary,telephone,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
housemaid,divorced,primary,cellular,nov,other,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,apr,failure,yes,positive,ageBand4,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,apr,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
retired,married,secondary,telephone,apr,success,no,positive,ageBand5,defaultNo,houseNo,loanNo
services,married,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,may,unknown,no,veryNegative,ageBand4,defaultNo,houseYes,loanYes
blue-collar,single,secondary,cellular,feb,unknown,yes,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
retired,married,tertiary,cellular,jul,failure,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,mar,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
self-employed,single,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,divorced,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,divorced,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
unknown,married,unknown,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,divorced,primary,cellular,feb,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
student,single,secondary,cellular,jan,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
management,single,tertiary,telephone,jan,other,no,positive,ageBand2,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,may,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
services,married,secondary,cellular,jul,unknown,no,negative,ageBand5,defaultNo,houseNo,loanYes
services,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,telephone,nov,other,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,divorced,tertiary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
retired,married,secondary,cellular,may,unknown,no,positive,ageBand5,defaultYes,houseYes,loanNo
management,married,tertiary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,apr,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
entrepreneur,married,tertiary,telephone,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
services,married,secondary,unknown,jun,success,no,positive,ageBand3,defaultNo,houseYes,loanNo
self-employed,divorced,tertiary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseNo,loanNo
entrepreneur,married,secondary,unknown,aug,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
entrepreneur,married,primary,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,divorced,tertiary,cellular,apr,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,divorced,primary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,single,secondary,telephone,may,unknown,no,negative,ageBand2,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,unknown,aug,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
housemaid,married,primary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,single,primary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
housemaid,married,primary,cellular,feb,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
unemployed,married,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
retired,divorced,tertiary,cellular,nov,unknown,yes,positive,ageBand5,defaultNo,houseNo,loanNo
student,single,secondary,telephone,may,other,no,positive,ageBand1,defaultNo,houseYes,loanNo
unemployed,married,secondary,cellular,jan,success,yes,positive,ageBand4,defaultNo,houseNo,loanNo
technician,divorced,secondary,cellular,may,failure,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,married,tertiary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
technician,divorced,tertiary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,primary,unknown,may,unknown,yes,negative,ageBand4,defaultNo,houseYes,loanNo
blue-collar,single,primary,telephone,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
housemaid,married,tertiary,cellular,may,failure,yes,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
technician,married,tertiary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
retired,married,secondary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseYes,loanYes
housemaid,married,tertiary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,single,secondary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseNo,loanYes
entrepreneur,married,tertiary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
housemaid,single,tertiary,unknown,jun,unknown,yes,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
services,single,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,feb,other,yes,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,negative,ageBand2,defaultNo,houseNo,loanYes
unemployed,married,primary,unknown,jun,unknown,no,negative,ageBand3,defaultNo,houseNo,loanNo
self-employed,married,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,single,secondary,telephone,apr,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,telephone,aug,unknown,yes,positive,ageBand5,defaultNo,houseNo,loanNo
technician,single,tertiary,cellular,apr,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,divorced,primary,cellular,may,failure,no,positive,ageBand5,defaultNo,houseYes,loanNo
services,single,secondary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
self-employed,married,primary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,married,secondary,telephone,jul,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
retired,married,secondary,cellular,feb,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
services,married,secondary,cellular,nov,failure,yes,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,married,primary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
admin.,single,secondary,cellular,jul,unknown,no,negative,ageBand4,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
services,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
technician,married,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,telephone,nov,other,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
services,married,secondary,cellular,may,unknown,yes,positive,ageBand4,defaultNo,houseYes,loanNo
entrepreneur,single,secondary,cellular,jan,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
management,divorced,tertiary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanYes
blue-collar,single,primary,unknown,may,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
services,married,unknown,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
services,married,secondary,telephone,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,divorced,tertiary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,single,secondary,cellular,sep,success,yes,negative,ageBand2,defaultNo,houseYes,loanNo
student,single,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,tertiary,cellular,aug,unknown,no,negative,ageBand5,defaultNo,houseNo,loanNo
management,married,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,single,secondary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
entrepreneur,married,secondary,cellular,jul,unknown,yes,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanYes
management,married,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
services,married,secondary,cellular,may,failure,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,primary,telephone,jul,unknown,no,negative,ageBand5,defaultNo,houseNo,loanNo
admin.,single,secondary,cellular,jan,success,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
technician,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,single,secondary,cellular,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanYes
admin.,single,unknown,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,jul,unknown,no,negative,ageBand4,defaultNo,houseNo,loanYes
entrepreneur,single,primary,unknown,may,unknown,yes,positive,ageBand1,defaultNo,houseYes,loanNo
management,divorced,tertiary,cellular,feb,failure,no,veryPositive,ageBand5,defaultNo,houseYes,loanNo
admin.,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
technician,married,secondary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
admin.,divorced,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
services,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,single,tertiary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
management,married,tertiary,unknown,may,unknown,yes,positive,ageBand2,defaultNo,houseYes,loanYes
technician,single,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
services,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,divorced,secondary,cellular,apr,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,single,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
retired,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
entrepreneur,married,tertiary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,divorced,tertiary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,jun,failure,yes,positive,ageBand3,defaultNo,houseYes,loanNo
student,single,secondary,cellular,oct,failure,yes,positive,ageBand1,defaultNo,houseNo,loanNo
technician,divorced,secondary,unknown,may,unknown,no,negative,ageBand4,defaultNo,houseYes,loanNo
management,single,unknown,cellular,apr,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
self-employed,married,tertiary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,jan,unknown,yes,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,may,failure,yes,positive,ageBand3,defaultNo,houseYes,loanYes
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,divorced,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
management,single,tertiary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
self-employed,single,tertiary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
entrepreneur,married,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
services,divorced,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
blue-collar,single,secondary,cellular,nov,unknown,no,veryNegative,ageBand4,defaultNo,houseNo,loanYes
self-employed,single,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,married,secondary,cellular,may,unknown,yes,positive,ageBand1,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,nov,failure,no,positive,ageBand4,defaultNo,houseNo,loanYes
admin.,divorced,secondary,unknown,may,unknown,no,negative,ageBand3,defaultYes,houseYes,loanNo
services,married,secondary,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
self-employed,married,tertiary,cellular,feb,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,married,primary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,single,secondary,cellular,nov,failure,no,positive,ageBand3,defaultNo,houseNo,loanYes
services,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
housemaid,single,tertiary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanYes
technician,married,secondary,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,single,secondary,cellular,feb,unknown,no,positive,ageBand2,defaultNo,houseYes,loanYes
technician,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
services,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
unemployed,divorced,tertiary,cellular,nov,failure,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,feb,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,feb,success,yes,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
housemaid,single,secondary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
unemployed,married,tertiary,unknown,may,unknown,no,negative,ageBand4,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,secondary,cellular,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
retired,married,primary,cellular,mar,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,may,unknown,yes,positive,ageBand4,defaultNo,houseYes,loanNo
services,divorced,secondary,cellular,feb,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
retired,married,secondary,cellular,may,failure,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,jul,unknown,no,negative,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,sep,success,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,single,primary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,single,secondary,unknown,may,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
services,single,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
retired,married,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,divorced,tertiary,unknown,may,unknown,no,veryNegative,ageBand4,defaultNo,houseYes,loanYes
blue-collar,married,primary,unknown,may,unknown,no,negative,ageBand4,defaultNo,houseYes,loanNo
admin.,single,secondary,cellular,may,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,may,unknown,no,negative,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,primary,telephone,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
technician,married,secondary,cellular,jun,other,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,apr,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,secondary,unknown,may,unknown,no,negative,ageBand2,defaultNo,houseYes,loanNo
retired,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,single,primary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
entrepreneur,married,tertiary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
services,married,secondary,cellular,apr,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
unemployed,married,tertiary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
student,single,secondary,unknown,aug,unknown,no,positive,ageBand1,defaultNo,houseNo,loanNo
entrepreneur,married,tertiary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
technician,single,tertiary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
entrepreneur,married,secondary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanYes
technician,married,secondary,cellular,feb,other,no,positive,ageBand4,defaultNo,houseNo,loanYes
services,married,secondary,unknown,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
blue-collar,married,secondary,cellular,jul,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
entrepreneur,married,tertiary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
self-employed,married,tertiary,unknown,jun,unknown,no,veryPositive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
services,divorced,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
technician,single,secondary,cellular,may,failure,no,positive,ageBand2,defaultNo,houseYes,loanNo
admin.,married,unknown,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
services,divorced,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,jan,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,divorced,tertiary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,divorced,tertiary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
