Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,Date_of_Data,Date_Report_Created,Value_inches,Percent_NRCS_1981_2010_Average,Percent_NRCS_1981_2010_Median,Percent_of_POR_Average,Percent_of_POR_Median,Percent_of_Water_Year_Peak,Percent_of_Average_Water_Year_Peak_POR,Percent_of_Median_Water_Year_Peak_POR,POR_Median_Departure_inches,Percentile_POR,Maximum_Rank_POR,Minimum_Rank_POR,Records_POR,NRCS_1981_2010_Average_inches,NRCS_1981_2010_Median_inches,POR_Average_inches,POR_Median_inches,Minimum_POR_inches,Maximum_POR_inches,Year_of_Minimum_POR,Year_of_Maximum_POR,Number_of_Observations_POR
Lost Creek Resv,"1118	",Utah,SNOTEL,Morgan,6082,41.22155,-111.35947,"160201010603	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",10
Lost Dog,"940	",Colorado,SNOTEL,Routt,9320,40.81588,-106.74835,"140500010203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-3,15,18,1,Lowest,,,6.43,3,0,20,"2012, 2016, 2020, more",2003,21
Lost Horse,"599	",Washington,SNOTEL,Yakima,5120,46.3575,-121.08095,"170300030302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,65,8,1,Lowest,,,1.14,0,0,8,"2018, 2019, 2020, more",2005,21
Lost Lake,"600	",Idaho,SNOTEL,Shoshone,6110,47.0809,-115.9604,"170603080101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",8,,,113,160,50,6,6,3,64,5,8,,,,7.08,5,0,21,2012,2013,12
Lost-Wood Divide,"601	",Idaho,SNOTEL,Blaine,7900,43.82432,-114.26402,"170402190304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-3,17,11,1,Lowest,,,3.62,3,0,10,"2011, 2018, 2020",2017,13
Louis Meadow,"972	",Utah,SNOTEL,Salt Lake,6700,40.83033,-111.76457,"160202040304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.7,0.5,0,9,"2016, 2017, 2018, more",2003,20
Louse Canyon,"1296	",Oregon,SNOLITE,"	",6520,42.07059,-117.5483,"160402010304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,,,0,,1,1,,,,0,0,0,0,2020,2020,1
Loveland Basin,"602	",Colorado,SNOTEL,Clear Creek,11400,39.67433,-105.90133,"101900040102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,33,35,57,5,5,-7.5,13,14,2,2nd Lowest,,,12.25,11.5,3,24,2016,2018,16
Lovell Summit,"2146	",Nevada,SCAN,Clark,6582,36.16555,-115.61195,"160600150401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,"1,200",,100,8,8,1,100,1,12,Highest,,,0.08,0,0,1,"2017, 2018, 2019, more",2020,12
Lower Kachemak Creek,"1265	",Alaska,SNOTEL,Kenai Peninsula,1915,59.73507,-150.69327,"190203011101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.25,1.5,0,2,2018,"2015, 2016",4
Lower Twin,"603	",Montana,SNOTEL,Madison,7900,45.50871,-111.92288,"100200071101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,63,60,75,9,9,-4,33,13,6,,,,9.47,10,0,24,"2011, 2016",2017,19
Lu Lake,"4B15P	",British Columbia,Cooperator Snow Sensors,"	",4291,54.18333,-126.3,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,97,133,24,9,10,1,70,7,13,,,,4.14,3,0,23,"2009, 2010, 2011, more",2006,21
Lubrecht Flume,"604	",Montana,SNOTEL,Missoula,4680,46.88293,-113.32228,"170102031204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,146,,9,4,4,1,83,4,14,,,,0.68,0,0,4,"2014, 2016, 2018, more","2002, 2017",19
Lucky Strike,"605	",Oregon,SNOTEL,Umatilla,4970,45.27478,-118.8479,"170701030606	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,0,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020, more","2018, 2019, 2020, more",17
Lye Brook,"2042	",Vermont,SCAN,Bennington,2435,43.05,-73.03333,"020200030202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,46,,100,3,3,1,82,4,15,,,,2.17,0,0,34,"2016, 2018, 2019, more",2000,18
Lyman Lake,"606	",Washington,SNOTEL,Chelan,5980,48.19798,-120.91678,"170200090203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",11,,,78,96,61,7,7,-0.5,47,9,8,,,,14.06,11.5,4,40,2008,2005,16
Lynn Lake,"1069	",Washington,SNOTEL,King,3900,47.20172,-121.77972,"171100130203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.92,0,0,7,"2016, 2018, 2019, more",2017,13
Lynx Pass,"607	",Colorado,SNOTEL,Routt,8880,40.07806,-106.67028,"140100011001	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,265,467,54,16,16,5.5,100,1,14,Highest,,,2.64,1.5,0,7,"2014, 2016, 2017, more",2020,14
MF Nooksack,"1011	",Washington,SNOTEL,Whatcom,4970,48.82453,-121.92951,"171100040303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,4.78,1,0,24,"2014, 2016, 2018, more",2005,18
Madison Butte,"608	",Oregon,SNOTEL,Morrow,5150,45.10513,-119.49585,"170702041101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.11,0,0,2,"2017, 2018, 2019, more",2006,19
Madison Plateau,"609	",Montana,SNOTEL,Gallatin,7750,44.58623,-111.11627,"100200070204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,52,57,67,5,5,-3,22,15,5,,,,7.68,7,0,18,2016,2004,19
Magic Mountain,"610	",Idaho,SNOTEL,Twin Falls,6880,42.18072,-114.28662,"170402120601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,43,13,1,Lowest,,,1.95,1,0,7,"2018, 2019, 2020, more","2000, 2015",22
Mahantango Ck,"2028	",Pennsylvania,SCAN,Northumberland,730,40.66667,-76.66667,"020503010801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,94,2,1,Lowest,,,0.17,0,0,3,"2018, 2019, 2020, more",2003,18
Mammoth-Cottonwood,"612	",Utah,SNOTEL,Sanpete,8709,39.68338,-111.31818,"160300040203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,57,11,1,Lowest,,,1.96,0,0,10,"2017, 2018, 2020, more","2003, 2004",24
Mancos,"905	",Colorado,SNOTEL,Montezuma,10000,37.43087,-108.16954,"140801070102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,59,8,1,Lowest,,,0.61,0,0,3,"2018, 2019, 2020, more","2003, 2004",18
Many Glacier,"613	",Montana,SNOTEL,Glacier,4900,48.79698,-113.6705,"090400010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,50,,14,2,2,1,61,8,11,,,,2,0,0,10,"2012, 2016, 2018, more",2017,19
Marion Forks,"614	",Oregon,SNOTEL,Linn,2590,44.59397,-121.97365,"170900050205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.71,0,0,9,"2017, 2018, 2019, more",2007,14
Marlette Lake,"615	",Nevada,SNOTEL,Carson City,7884,39.16395,-119.89672,"160501010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,54,12,1,Lowest,,,3,0,0,23,"2018, 2019, 2020, more",2004,25
Marquette,"616	",Wyoming,SNOTEL,Park,8760,44.3016,-109.24019,"100800130303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,97,133,57,10,11,1,59,8,10,,,,4.11,3,0,14,"2014, 2015, 2016, more",2013,18
Marten Ridge,"999	",Washington,SNOTEL,Whatcom,3520,48.76292,-121.69823,"171100051004	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.14,0,0,10,"2016, 2018, 2019, more",2017,14
Mascoma River,"2043	",New Hampshire,SCAN,Grafton,1400,43.78333,-72.03333,"010801060101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.29,0,0,3,"2015, 2016, 2019, more",2001,17
Maverick Fork,"617	",Arizona,SNOTEL,Apache,9200,33.92121,-109.45881,"150601010104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,380,,25,2,3,1,100,1,15,Highest,,,0.26,0,0,1,"2017, 2018, 2019, more","2013, 2015, 2020, more",19
May Creek,"1096	",Alaska,SNOTEL,Valdez-Cordova,1610,61.34783,-142.70967,"190201031603	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,254,450,90,29,35,7,92,2,12,2nd Highest,,,3.54,2,0,12,2013,2008,13
Mc Clure Pass,"618	",Colorado,SNOTEL,Pitkin,9500,39.12897,-107.28806,"140200040203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.35,1,0,5,"2012, 2016, 2017, more","2006, 2013",17
McBride Upper,"1A02P	",British Columbia,Cooperator Snow Sensors,"	",5276,53.3,-120.31667,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",10,,,87,95,26,8,14,-0.5,46,8,6,,,,11.5,10.5,0,47,"2006, 2008, 2016",2017,14
McGrath,"785	",Alaska,SNOTEL,Yukon-Koyukuk,340,62.94652,-155.6102,"190304050502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,100,100,50,4,4,0,,1,1,,,,2,2,2,2,2020,2020,1
Mccoy Park,"1040	",Colorado,SNOTEL,Eagle,9480,39.60468,-106.54128,"140100030302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,24,14,1,Lowest,,,4,2,0,14,"2016, 2017, 2020, more",2009,18
Mckenzie,"619	",Oregon,SNOTEL,Lane,4770,44.2103,-121.87292,"170900040207	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,56,8,1,Lowest,,,2.65,0,0,10,"2018, 2019, 2020, more",2013,17
Mcknight Cabin,"1048	",New Mexico,SNOTEL,Grant,9240,33.00812,-107.86975,"130302020103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,11,,20,6,7,1,93,2,13,2nd Highest,,,9.19,0,0,144,"2017, 2018, 2019, more",2004,16
Mcneil Canyon,"1003	",Alaska,SNOTEL,Kenai Peninsula,1320,59.74433,-151.25133,"190203010806	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,43,100,100,3,3,0,53,10,8,,,,2.3,1,0,8,"2016, 2017, 2018, more",2001,20
Mcneil River SGS,"1191	",Alaska,SNOTEL,Kenai Peninsula,140,59.08332,-154.27543,"190206021207	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,43,5,1,Lowest,,,1.63,1,0,7,"2015, 2016, 2020, more",2012,8
Meadow Lake,"620	",Idaho,SNOTEL,Lemhi,9150,44.43655,-113.31815,"170602040101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,25,4,1,Lowest,,,3.2,1,0,8,"2016, 2020",2019,5
Meadows Pass,"897	",Washington,SNOTEL,King,3230,47.28312,-121.47197,"171100120101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.94,0,0,6,"2016, 2018, 2019, more",2005,17
Med Bow,"1196	",Wyoming,SNOTEL,Carbon,10500,41.37833,-106.34681,"101800040302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",11,,,72,92,65,9,10,-1,38,6,2,2nd Lowest,,,15.33,12,10,26,2016,2019,9
Medano Pass,"914	",Colorado,SNOTEL,Saguache,9649,37.85164,-105.43614,"130100030604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,166,600,23,6,9,2.5,80,4,12,,,,1.81,0.5,0,8,"2014, 2016, 2017, more",2018,16
Merchant Valley,"621	",Utah,SNOTEL,Beaver,8705,38.30285,-112.43637,"160300070201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,37,100,50,2,2,0,53,9,9,,,,2.72,1,0,16,"2016, 2017, 2019, more",2004,18
Merritt Mountain,"1207	",Nevada,SNOTEL,Elko,6915,41.8927,-115.858,"170501020601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,63,4,1,Lowest,,,1.78,0,0,14,"2018, 2019, 2020, more",2015,9
Mesa Lakes,"622	",Colorado,SNOTEL,Mesa,10000,39.05831,-108.05835,"140100051307	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-4.5,23,11,1,Lowest,,,4.21,4.5,0,13,"2016, 2017, 2020, more",2013,14
Mica Creek,"623	",Idaho,SNOTEL,Shoshone,4510,47.15045,-116.26643,"170103040604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,205,200,27,6,5,2,89,3,17,,,,1.95,2,0,10,"2014, 2016, 2018, more",2013,19
Michigan Creek,"937	",Colorado,SNOTEL,Park,10600,39.43577,-105.91078,"101900010404	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,15,18,1,Lowest,,,4.38,2,0,14,"2014, 2016, 2020, more",2006,21
Midas,"1206	",Nevada,SNOTEL,Elko,6630,41.26873,-116.80332,"160401060402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,75,3,1,Lowest,,,0.44,0,0,2,"2018, 2019, 2020, more","2014, 2015",9
Middle Creek,"624	",Colorado,SNOTEL,Mineral,11250,37.61978,-107.03482,"130100010501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,36,60,60,3,5,-2,44,10,7,,,,8.29,5,0,26,"2012, 2016",2003,17
Middle Fork Bradley,"1064	",Alaska,SNOTEL,Kenai Peninsula,2300,59.77683,-150.75733,"190203011102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,52,57,67,6,6,-3,27,12,4,,,,7.75,7,0,24,"2013, 2018",2010,16
Middle Fork Camp,"1014	",Colorado,SNOTEL,Grand,8940,39.7956,-106.0273,"140100010402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,86,150,50,5,6,1,61,8,11,,,,3.47,2,0,13,"2012, 2016, 2017, more",2002,19
Middle Powder,"625	",Wyoming,SNOTEL,Washakie,7760,43.62728,-107.18138,"100800080205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,40,50,40,4,4,-2,44,10,8,,,,5,4,0,20,"2014, 2015, 2016, more",2013,17
Midway Valley,"626	",Utah,SNOTEL,Iron,9827,37.56933,-112.83849,"160300010101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,48,13,1,Lowest,,,5.5,1,0,47,"2017, 2019, 2020, more",2004,24
Milk Shakes,"1079	",Oregon,SNOTEL,Wallowa,5580,45.9821,-117.94883,"170701020201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.62,0,0,10,"2014, 2016, 2018, more","2017, 2019",13
Mill Creek Summit,"627	",Idaho,SNOTEL,Custer,8800,44.47212,-114.48992,"170602010501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,24,40,100,3,3,-3,13,8,2,2nd Lowest,,,8.33,5,1,24,2011,2017,9
Mill-D North,"628	",Utah,SNOTEL,Salt Lake,8963,40.65883,-111.63683,"160202040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,50,9,1,Lowest,,,3,0,0,31,"2016, 2017, 2020, more",2004,17
Miller Woods,"1084	",Oregon,SNOTEL,Yamhill,420,45.24755,-123.27563,"170900080606	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020, more","2018, 2019, 2020, more",15
Mineral Creek,"629	",Colorado,SNOTEL,San Juan,10040,37.84747,-107.72657,"140801040103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,21,12,1,Lowest,,,3.2,2,0,10,"2012, 2016, 2020, more",2004,15
Mining Fork,"631	",Utah,SNOTEL,Tooele,8295,40.49384,-112.61141,"160203040503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.48,2,0,17,"2015, 2016, 2017, more",2004,23
Mission Creek,"2F05P	",British Columbia,Cooperator Snow Sensors,"	",5886,49.93333,-118.93333,"170200060703	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",11,,,168,183,79,15,17,5,90,3,20,,,,6.55,6,0,15,2014,2004,22
Molas Lake,"632	",Colorado,SNOTEL,San Juan,10500,37.74932,-107.68866,"140801040302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,27,12,1,Lowest,,,2.38,1,0,8,"2010, 2012, 2020, more",2011,16
Monahan Flat,"1094	",Alaska,SNOTEL,Matanuska-Susitna,2710,63.30533,-147.64633,"190205010304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,103,100,88,20,19,0,58,6,7,,,,6.77,7,0,15,2012,2015,13
Monitor Pass,"633	",California,SNOTEL,Alpine,8306,38.6683,-119.6087,"160502010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,68,7,1,Lowest,,,2.2,0,0,17,"2018, 2019, 2020, more",2004,20
Monte Cristo,"634	",Utah,SNOTEL,Cache,8932,41.46547,-111.49688,"160102030201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-4,22,19,1,Lowest,,,5.29,4,0,27,"2014, 2017, 2020, more",2004,24
Monument Creek,"949	",Alaska,SNOTEL,Fairbanks North Star,1850,65.07833,-145.87067,"190803060402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,69,80,80,13,16,-1,36,8,5,,,,5.83,5,0,16,2016,2017,12
Monument Peak,"635	",Montana,SNOTEL,Park,8850,45.21759,-110.237,"100700020902	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",19,,,145,141,66,25,25,5.5,89,3,18,,,,13.1,13.5,0,37,2011,2017,20
Moon Pass,"1124	",Colorado,SNOTEL,Saguache,11140,37.96661,-106.55837,"130100040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.45,1,0,7,"2010, 2012, 2016",2009,11
Moonshine,"636	",Idaho,SNOTEL,Lemhi,7440,44.4147,-113.39812,"170402170201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,38,9,1,Lowest,,,0.93,1,0,4,"2013, 2016, 2020, more",2015,14
Moore Creek Bridge,"1176	",Alaska,SNOTEL,Skagway,2250,59.58783,-135.2105,"190103030203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",135,,,849,"2,700",100,181,185,130,100,1,11,Highest,,,15.91,5,0,135,"2013, 2017",2020,11
Moose Creek,"638	",Idaho,SNOTEL,Lemhi,6200,45.67008,-113.95315,"170602030601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,63,73,50,7,7,-1.5,40,4,3,,,,6.33,5.5,0,15,2016,2017,6
Moraine,"1035	",Alaska,SNOTEL,Anchorage,2100,61.37727,-148.99917,"190204010103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",94,,,"1,003","3,760",100,296,285,91.5,100,1,16,Highest,,,9.38,2.5,0,94,"2015, 2016, 2017, more",2020,16
Mores Creek Summit,"637	",Idaho,SNOTEL,Boise,6100,43.932,-115.66588,"170501110503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,50,12,1,Lowest,,,1.91,0,0,11,"2016, 2018, 2020, more",2004,23
Morgan Creek,"639	",Idaho,SNOTEL,Lemhi,7600,44.84237,-114.26871,"170602030901	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,50,5,1,Lowest,,,1.67,0,0,7,"2014, 2016, 2020, more",2015,9
Mormon Mountain,"640	",Arizona,SNOTEL,Coconino,7500,34.94109,-111.51849,"150200150201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,475,,67,4,7,2,94,2,17,2nd Highest,,,0.42,0,0,3,"2017, 2018, 2019, more",2004,19
Mormon Mtn Summit,"1125	",Arizona,SNOTEL,Coconino,8500,34.96964,-111.50922,"150200150202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,58,6,1,Lowest,,,0.62,0,0,3,"2017, 2019, 2020, more",2011,13
Morse Lake,"642	",Washington,SNOTEL,Yakima,5410,46.90585,-121.4827,"170300020106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-3.5,27,12,1,Lowest,,,6.25,3.5,0,37,"2014, 2018, 2020, more",2005,16
Mosby Mtn.,"643	",Utah,SNOTEL,Uintah,9553,40.60798,-109.8881,"140600100702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-4.5,18,15,1,Lowest,,,6.56,4.5,0,32,"2016, 2017, 2020, more",2004,18
Moscow Mountain,"989	",Idaho,SNOTEL,Latah,4700,46.805,-116.8535,"170603061002	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,75,6,1,Lowest,,,0.62,0,0,4,"2018, 2019, 2020, more","2005, 2013",21
Moses Mtn,"644	",Washington,SNOTEL,Okanogan,5010,48.36163,-119.08159,"170200061903	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.76,0,0,15,"2016, 2018, 2019, more",2005,17
Mosley Creek Upper,"3A24P	",British Columbia,Cooperator Snow Sensors,"	",5430,51.76667,-124.61667,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,68,100,26,8,11,0,58,6,6,,,,7.38,5,2,30,2015,2017,13
Mosquito Ridge,"645	",Idaho,SNOTEL,Shoshone,5260,48.05726,-116.23055,"170103010101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,79,150,30,3,3,1,67,4,6,,,,3.8,2,0,13,"2012, 2014, 2015",2017,10
Moss Peak,"646	",Montana,SNOTEL,Lake,6780,47.68493,-113.9623,"170102080404	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,13.56,12.5,0,43,2008,2017,18
Moss Springs,"647	",Oregon,SNOTEL,Union,5760,45.27173,-117.68747,"170601040702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.55,1,0,11,"2010, 2012, 2016, more",2002,20
Mount Cook,"1E02P	",British Columbia,Cooperator Snow Sensors,"	",5164,52.16667,-119.31667,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",28,,,1,140,35,1,19,8,67,7,13,,,,"2,092.05",20,2,"39,370","2002, 2003",2011,19
Mount Crag,"648	",Washington,SNOTEL,Jefferson,3960,47.7637,-123.026,"171100180601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.21,0,0,14,"2016, 2018, 2019, more",2005,19
Mount Gardner,"898	",Washington,SNOTEL,King,2920,47.35768,-121.56812,"171100120103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.33,0,0,5,"2017, 2018, 2019, more",2005,15
Mount Lockhart,"649	",Montana,SNOTEL,Teton,6400,47.91727,-112.8238,"100302050102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",14,,,255,350,61,20,20,10,95,2,18,2nd Highest,,,5.5,4,0,17,"2008, 2010, 2016, more",2017,20
Mount Mansfield,"2041	",Vermont,SCAN,Chittenden,2236,44.53333,-72.83333,"041504050201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.47,0,0,13,"2014, 2015, 2017, more",2001,15
Mountain Meadows,"650	",Idaho,SNOTEL,Idaho,6320,45.69694,-115.22972,"170603020301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,41,50,50,3,3,-2,30,15,3,,,,4.86,4,0,16,2016,2004,21
Mowich,"941	",Washington,SNOTEL,Pierce,3160,46.92833,-121.95232,"171100140105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,86,4,1,Lowest,,,0.26,0,0,4,"2018, 2019, 2020, more",1999,23
Moyie Mountain,"2C10P	",British Columbia,Cooperator Snow Sensors,"	",6037,49.25,-115.76667,"170101050304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.67,3,0,10,"2002, 2010, 2018","2000, 2013",18
Mt Baldy,"1224	",Utah,SNOTEL,Sanpete,9524,39.13648,-111.50527,"160300040402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,58,100,40,3,3,0,50,5,5,,,,3.44,2,0,14,"2015, 2016, 2017, more",2013,9
Mt Hood Test Site,"651	",Oregon,SNOTEL,Clackamas,5370,45.32097,-121.7158,"170800010302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.9,3,0,17,"2014, 2016, 2018, more",1996,21
Mt Pennell,"1269	",Utah,SNOTEL,Garfield,9209,37.97793,-110.7933,"140700010502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,80,2,1,Lowest,,,0.67,0,0,4,"2018, 2019, 2020, more",2015,6
Mt Rose Ski Area,"652	",Nevada,SNOTEL,Washoe,8801,39.31573,-119.89473,"160501020304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-2,41,14,1,Lowest,,,5.22,2,0,39,"2018, 2019, 2020, more",2004,23
Mt. Alyeska,"1103	",Alaska,SNOTEL,Anchorage,1540,60.95983,-149.08617,"190203020702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,29,29,67,2,3,-5,42,8,3,,,,6.85,7,0,17,"2016, 2017",2007,13
Mt. Eyak,"1073	",Alaska,SNOTEL,Valdez-Cordova,1405,60.55,-145.745,"190202010200	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,116,125,100,6,6,1,75,4,8,,,,4.31,4,0,13,"2013, 2015, 2018, more",2012,13
Mt. Howard,"653	",Oregon,SNOTEL,Wallowa,7910,45.26522,-117.17373,"170601050102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,29,50,100,2,2,-1,39,12,5,,,,3.42,2,0,14,"2012, 2016, 2017, more",2013,19
Mt. Ryan,"948	",Alaska,SNOTEL,Fairbanks North Star,2800,65.25113,-146.15133,"190803060404	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,60,80,100,11,11,-1,44,6,2,2nd Lowest,,,6.7,5,0,15,2016,2017,10
